,cells,total_score,chrom,start,end,strand,splice_motif,donor_seq,acceptor_seq,label_5_prime,label_3_prime,position_off_5_prime,position_off_3_prime,perfect_match_5_prime,perfect_match_3_prime,both_ends_transcripts,only_5_prime_transcripts,only_3_prime_transcripts,transcript_types,gene_ids,gene_names,transcripts_junc_5,transcripts_junc_3,gene_types
chr1_30943323_30943931_-,14,543,chr1,30943323,30943931,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000232841.1', 'ENSMUST00000233506.1', 'ENSMUST00000027232.14', 'ENSMUST00000076587.5', 'ENSMUST00000153681.1', 'ENSMUST00000130934.1']","['ENSMUST00000232841.1', 'ENSMUST00000233506.1', 'ENSMUST00000027232.14', 'ENSMUST00000076587.5', 'ENSMUST00000153681.1', 'ENSMUST00000130934.1']","['ENSMUST00000232841.1', 'ENSMUST00000076587.5', 'ENSMUST00000233506.1', 'ENSMUST00000130934.1', 'ENSMUST00000027232.14', 'ENSMUST00000153681.1']",[],[],"['protein_coding', 'retained_intron']","['ENSMUSG00000026064.16', 'ENSMUSG00000117310.1']","['Ptp4a1', 'Ptp4a1']","['ENSMUST00000232841.1', 'ENSMUST00000076587.5', 'ENSMUST00000233506.1', 'ENSMUST00000130934.1', 'ENSMUST00000027232.14', 'ENSMUST00000153681.1']","['ENSMUST00000232841.1', 'ENSMUST00000076587.5', 'ENSMUST00000233506.1', 'ENSMUST00000130934.1', 'ENSMUST00000027232.14', 'ENSMUST00000153681.1']",['protein_coding']
chr1_45311832_45321496_+,6,661,chr1,45311832,45321496,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000129611.1', 'ENSMUST00000087883.12', 'ENSMUST00000189818.1']","['ENSMUST00000129611.1', 'ENSMUST00000087883.12']","['ENSMUST00000129611.1', 'ENSMUST00000087883.12']","['ENSMUST00000198698.1', 'ENSMUST00000189818.1']",[],"['miRNA', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000105211.1', 'ENSMUSG00000026043.18']","['Gm47302', 'Col3a1']","['ENSMUST00000129611.1', 'ENSMUST00000198698.1', 'ENSMUST00000189818.1', 'ENSMUST00000087883.12']","['ENSMUST00000129611.1', 'ENSMUST00000087883.12']","['miRNA', 'protein_coding']"
chr1_88215882_88216137_+,9,2376,chr1,88215882,88216137,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000138182.7', 'ENSMUST00000113142.9', 'ENSMUST00000173325.1', 'ENSMUST00000073772.4', 'ENSMUST00000113139.1', 'ENSMUST00000150634.7', 'ENSMUST00000058237.13', 'ENSMUST00000113138.7', 'ENSMUST00000113135.5', 'ENSMUST00000113137.1', 'ENSMUST00000113134.7', 'ENSMUST00000140092.7', 'ENSMUST00000014263.5', 'ENSMUST00000097659.4', 'ENSMUST00000049289.8', 'ENSMUST00000073049.6']","['ENSMUST00000138182.7', 'ENSMUST00000113142.9', 'ENSMUST00000173325.1', 'ENSMUST00000073772.4', 'ENSMUST00000113139.1', 'ENSMUST00000150634.7', 'ENSMUST00000058237.13', 'ENSMUST00000126203.7', 'ENSMUST00000113138.7', 'ENSMUST00000113135.5', 'ENSMUST00000113137.1', 'ENSMUST00000113134.7', 'ENSMUST00000140092.7', 'ENSMUST00000014263.5', 'ENSMUST00000097659.4', 'ENSMUST00000049289.8', 'ENSMUST00000073049.6']","['ENSMUST00000113138.7', 'ENSMUST00000150634.7', 'ENSMUST00000073049.6', 'ENSMUST00000073772.4', 'ENSMUST00000113142.9', 'ENSMUST00000097659.4', 'ENSMUST00000173325.1', 'ENSMUST00000113134.7', 'ENSMUST00000113139.1', 'ENSMUST00000014263.5', 'ENSMUST00000113135.5', 'ENSMUST00000113137.1', 'ENSMUST00000049289.8', 'ENSMUST00000058237.13', 'ENSMUST00000140092.7', 'ENSMUST00000138182.7']",[],['ENSMUST00000126203.7'],"['nonsense_mediated_decay', 'protein_coding']","['ENSMUSG00000090175.1', 'ENSMUSG00000090145.7', 'ENSMUSG00000054545.17', 'ENSMUSG00000089675.1', 'ENSMUSG00000090124.7', 'ENSMUSG00000089943.1', 'ENSMUSG00000090171.1', 'ENSMUSG00000090165.8', 'ENSMUSG00000089960.1']","['Ugt1a9', 'Ugt1a6b', 'Ugt1a6a', 'Ugt1a8', 'Ugt1a7c', 'Ugt1a5', 'Ugt1a2', 'Ugt1a10', 'Ugt1a1']","['ENSMUST00000113138.7', 'ENSMUST00000150634.7', 'ENSMUST00000073049.6', 'ENSMUST00000073772.4', 'ENSMUST00000113142.9', 'ENSMUST00000097659.4', 'ENSMUST00000173325.1', 'ENSMUST00000113134.7', 'ENSMUST00000113139.1', 'ENSMUST00000014263.5', 'ENSMUST00000113135.5', 'ENSMUST00000113137.1', 'ENSMUST00000049289.8', 'ENSMUST00000058237.13', 'ENSMUST00000140092.7', 'ENSMUST00000138182.7']","['ENSMUST00000113138.7', 'ENSMUST00000150634.7', 'ENSMUST00000073049.6', 'ENSMUST00000073772.4', 'ENSMUST00000113142.9', 'ENSMUST00000126203.7', 'ENSMUST00000097659.4', 'ENSMUST00000173325.1', 'ENSMUST00000113134.7', 'ENSMUST00000113139.1', 'ENSMUST00000014263.5', 'ENSMUST00000113135.5', 'ENSMUST00000113137.1', 'ENSMUST00000049289.8', 'ENSMUST00000058237.13', 'ENSMUST00000140092.7', 'ENSMUST00000138182.7']",['protein_coding']
chr1_93343711_93346155_+,8,288,chr1,93343711,93346155,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000027494.10', 'ENSMUST00000185498.6', 'ENSMUST00000127141.1']","['ENSMUST00000027494.10', 'ENSMUST00000127141.1']","['ENSMUST00000127141.1', 'ENSMUST00000027494.10']",['ENSMUST00000185498.6'],['ENSMUST00000198980.1'],"['nonsense_mediated_decay', 'miRNA', 'protein_coding']","['ENSMUSG00000026275.13', 'ENSMUSG00000106302.1']","['Ppp1r7', 'Mir6902']","['ENSMUST00000127141.1', 'ENSMUST00000185498.6', 'ENSMUST00000027494.10']","['ENSMUST00000127141.1', 'ENSMUST00000198980.1', 'ENSMUST00000027494.10']","['miRNA', 'protein_coding']"
chr1_132007940_132014382_+,7,212,chr1,132007940,132014382,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000086556.11', 'ENSMUST00000027696.9']","['ENSMUST00000191034.1', 'ENSMUST00000086556.11', 'ENSMUST00000027696.9', 'ENSMUST00000146188.1', 'ENSMUST00000124579.1', 'ENSMUST00000146432.1']","['ENSMUST00000027696.9', 'ENSMUST00000086556.11']",[],"['ENSMUST00000146432.1', 'ENSMUST00000124579.1', 'ENSMUST00000191034.1', 'ENSMUST00000146188.1']","['processed_transcript', 'protein_coding']","['ENSMUSG00000100037.1', 'ENSMUSG00000026436.15']","['Gm29103', 'Elk4']","['ENSMUST00000027696.9', 'ENSMUST00000086556.11']","['ENSMUST00000086556.11', 'ENSMUST00000027696.9', 'ENSMUST00000146432.1', 'ENSMUST00000191034.1', 'ENSMUST00000146188.1', 'ENSMUST00000124579.1']","['processed_transcript', 'protein_coding']"
chr1_184822406_184822488_-,21,1437,chr1,184822406,184822488,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000068725.9', 'ENSMUST00000161359.7', 'ENSMUST00000161341.7', 'ENSMUST00000162261.7', 'ENSMUST00000162866.6', 'ENSMUST00000161821.3']","['ENSMUST00000068725.9', 'ENSMUST00000161359.7', 'ENSMUST00000161341.7', 'ENSMUST00000162261.7', 'ENSMUST00000162866.6', 'ENSMUST00000159293.7', 'ENSMUST00000161821.3']","['ENSMUST00000068725.9', 'ENSMUST00000162866.6', 'ENSMUST00000161359.7', 'ENSMUST00000161821.3', 'ENSMUST00000161341.7', 'ENSMUST00000157934.1', 'ENSMUST00000162261.7']",[],['ENSMUST00000159293.7'],"['miRNA', 'processed_transcript', 'protein_coding', 'retained_intron']","['ENSMUSG00000073481.9', 'ENSMUSG00000088559.1']","['Marc2', 'Mir1981']","['ENSMUST00000068725.9', 'ENSMUST00000162866.6', 'ENSMUST00000161359.7', 'ENSMUST00000161821.3', 'ENSMUST00000161341.7', 'ENSMUST00000157934.1', 'ENSMUST00000162261.7']","['ENSMUST00000068725.9', 'ENSMUST00000162866.6', 'ENSMUST00000161359.7', 'ENSMUST00000161821.3', 'ENSMUST00000159293.7', 'ENSMUST00000161341.7', 'ENSMUST00000157934.1', 'ENSMUST00000162261.7']","['miRNA', 'protein_coding']"
chr1_184822550_184832575_-,20,1363,chr1,184822550,184832575,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000068725.9', 'ENSMUST00000159293.7', 'ENSMUST00000161821.3', 'ENSMUST00000162501.6']","['ENSMUST00000068725.9', 'ENSMUST00000161359.7', 'ENSMUST00000162261.7', 'ENSMUST00000162866.6', 'ENSMUST00000161821.3']","['ENSMUST00000068725.9', 'ENSMUST00000161821.3']","['ENSMUST00000159293.7', 'ENSMUST00000162501.6']","['ENSMUST00000161359.7', 'ENSMUST00000157934.1', 'ENSMUST00000162866.6', 'ENSMUST00000162261.7']","['miRNA', 'processed_transcript', 'protein_coding']","['ENSMUSG00000073481.9', 'ENSMUSG00000088559.1']","['Marc2', 'Mir1981']","['ENSMUST00000068725.9', 'ENSMUST00000161821.3', 'ENSMUST00000159293.7', 'ENSMUST00000162501.6']","['ENSMUST00000068725.9', 'ENSMUST00000162866.6', 'ENSMUST00000161359.7', 'ENSMUST00000161821.3', 'ENSMUST00000157934.1', 'ENSMUST00000162261.7']","['miRNA', 'protein_coding']"
chr10_80828633_80828710_+,38,15109,chr10,80828633,80828710,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000060987.14', 'ENSMUST00000179894.1', 'ENSMUST00000177850.7', 'ENSMUST00000180036.7', 'ENSMUST00000179172.7', 'ENSMUST00000179620.7', 'ENSMUST00000179341.1']","['ENSMUST00000060987.14', 'ENSMUST00000179894.1', 'ENSMUST00000177850.7', 'ENSMUST00000180036.7', 'ENSMUST00000179620.7', 'ENSMUST00000179341.1']","['ENSMUST00000179894.1', 'ENSMUST00000177850.7', 'ENSMUST00000179172.7', 'ENSMUST00000179341.1', 'ENSMUST00000179620.7', 'ENSMUST00000060987.14', 'ENSMUST00000180036.7']",[],['ENSMUST00000157368.1'],"['miRNA', 'protein_coding', 'retained_intron']","['ENSMUSG00000035242.15', 'ENSMUSG00000087993.1']","['Oaz1', 'Mir1982']","['ENSMUST00000179894.1', 'ENSMUST00000177850.7', 'ENSMUST00000179172.7', 'ENSMUST00000179341.1', 'ENSMUST00000179620.7', 'ENSMUST00000060987.14', 'ENSMUST00000180036.7']","['ENSMUST00000179894.1', 'ENSMUST00000177850.7', 'ENSMUST00000179172.7', 'ENSMUST00000179341.1', 'ENSMUST00000179620.7', 'ENSMUST00000157368.1', 'ENSMUST00000060987.14', 'ENSMUST00000180036.7']","['miRNA', 'protein_coding']"
chr10_80828796_80828870_+,38,10513,chr10,80828796,80828870,+,GT-AG,GT,AG,annotated on 5',annotated on 3',0,1,"['ENSMUST00000060987.14', 'ENSMUST00000177850.7', 'ENSMUST00000180036.7', 'ENSMUST00000179172.7', 'ENSMUST00000179620.7', 'ENSMUST00000179341.1']","['ENSMUST00000060987.14', 'ENSMUST00000177850.7', 'ENSMUST00000180036.7', 'ENSMUST00000179172.7', 'ENSMUST00000179620.7']","['ENSMUST00000177850.7', 'ENSMUST00000179172.7', 'ENSMUST00000179341.1', 'ENSMUST00000179620.7', 'ENSMUST00000157368.1', 'ENSMUST00000060987.14', 'ENSMUST00000180036.7']",[],[],"['miRNA', 'protein_coding']","['ENSMUSG00000035242.15', 'ENSMUSG00000087993.1']","['Oaz1', 'Mir1982']","['ENSMUST00000177850.7', 'ENSMUST00000179172.7', 'ENSMUST00000179341.1', 'ENSMUST00000179620.7', 'ENSMUST00000157368.1', 'ENSMUST00000060987.14', 'ENSMUST00000180036.7']","['ENSMUST00000177850.7', 'ENSMUST00000179172.7', 'ENSMUST00000179341.1', 'ENSMUST00000179620.7', 'ENSMUST00000157368.1', 'ENSMUST00000060987.14', 'ENSMUST00000180036.7']","['miRNA', 'protein_coding']"
chr10_128511786_128511868_-,6,271,chr10,128511786,128511868,-,GT-AG,GT,AG,annotated on 5',annotated on 3',1,0,"['ENSMUST00000026427.7', 'ENSMUST00000220429.1']","['ENSMUST00000026427.7', 'ENSMUST00000220429.1']","['ENSMUST00000220429.1', 'ENSMUST00000026427.7']",['ENSMUST00000184514.1'],[],"['nonsense_mediated_decay', 'miRNA', 'protein_coding']","['ENSMUSG00000025366.8', 'ENSMUSG00000099292.1']","['Esyt1', 'Mir6916']","['ENSMUST00000220429.1', 'ENSMUST00000184514.1', 'ENSMUST00000026427.7']","['ENSMUST00000220429.1', 'ENSMUST00000026427.7']","['miRNA', 'protein_coding']"
